mode,pid_source,depth,seed,hard,reach,cost_ret,actor_qc_percentile,actor_qc_percentile_cf,actor_true_cost_percentile,q_c_action_spread,true_action_dense_cost_spread,true_action_sparse_cost_spread,corr_qc_true_cost,best_qc_matches_best_true_cost_frac,frac_states_with_nonzero_dense_cost_spread
dense,sparse,4,0,0.0691,0.0352,75.6836,0.049,0.104,0.508,5.45e+00,4.32e-04,5.98e-04,-0.028,0.278,1.000
dense,sparse,4,1,0.0408,0.0664,54.1797,0.088,0.087,0.502,2.59e+00,3.85e-04,3.48e-04,-0.011,0.337,1.000
dense,sparse,4,2,0.0658,0.1016,66.8477,0.106,0.108,0.501,2.49e+00,3.75e-04,3.44e-04,0.014,0.297,1.000
dense,active,8,0,0.0525,0.0273,37.1445,0.108,0.118,0.507,2.16e+00,3.53e-04,3.20e-04,-0.026,0.157,1.000
dense,sparse,8,0,0.0270,0.0703,28.3633,0.104,0.091,0.495,3.65e+00,2.65e-04,2.54e-04,0.007,0.349,1.000
dense,active,8,1,0.0524,0.0312,54.6523,0.197,0.142,0.502,1.36e+00,3.98e-04,4.14e-04,-0.012,0.098,1.000
dense,sparse,8,1,0.0668,0.0391,87.5195,0.167,0.195,0.504,9.47e-01,4.28e-04,1.72e-03,-0.036,0.228,1.000
dense,active,8,2,0.0687,0.0156,18.0039,0.181,0.190,0.501,8.63e-01,3.52e-04,1.02e-03,0.015,0.167,1.000
dense,sparse,8,2,0.0494,0.0508,84.6875,0.218,0.129,0.511,1.87e+00,3.93e-04,5.16e-04,-0.043,0.217,1.000
dense,sparse,16,0,0.0465,0.0234,65.7461,0.146,0.091,0.501,2.37e+00,4.21e-04,4.41e-04,-0.011,0.331,1.000
dense,sparse,16,1,0.0597,0.0195,46.0664,0.118,0.100,0.503,2.67e+00,3.89e-04,3.79e-04,-0.008,0.297,1.000
dense,sparse,16,2,0.0372,0.0156,53.4883,0.175,0.134,0.490,1.34e+00,3.91e-04,3.63e-04,0.017,0.250,1.000
dense,sparse,32,0,0.0512,0.0547,41.5781,0.144,0.126,0.504,8.75e-01,3.56e-04,5.23e-04,-0.002,0.258,1.000
dense,sparse,32,1,0.0464,0.0234,45.5977,0.105,0.106,0.503,2.56e+00,3.92e-04,3.95e-04,-0.006,0.297,1.000
dense,sparse,32,2,0.0563,0.0742,50.3125,0.200,0.162,0.493,1.34e+00,3.60e-04,5.00e-04,0.016,0.245,1.000
sparse,active,4,0,0.0303,0.9844,94.9297,,,,,,,,,
sparse,active,4,1,0.0378,0.9844,108.1484,,,,,,,,,
sparse,active,4,2,0.0502,0.9727,121.8633,,,,,,,,,
sparse,active,8,0,0.0726,0.7734,109.5586,0.506,0.440,0.500,2.64e-02,,,-0.000,0.002,0.001
sparse,active,8,1,0.0542,0.9375,128.2695,0.496,0.492,0.500,3.67e-02,,,0.000,0.000,0.001
sparse,active,8,2,0.0572,0.9102,118.4766,0.503,0.498,0.500,4.92e-02,,,-0.000,0.000,0.001
sparse,active,16,0,0.0476,1.0000,118.5234,,,,,,,,,
sparse,active,16,1,0.0451,0.9844,111.8164,,,,,,,,,
sparse,active,16,2,0.0429,0.9961,115.6758,,,,,,,,,
sparse,active,32,0,0.0000,,,,,,,,,,,
